Staff_ID,Staff_FName,Staff_LName,Staff_password,Dept,Country,Email,Access_ID
130001,John,Sim,john@123,Chairman,Singapore,john.sim@allinone.com.sg,1
130002,Jack,Sim,jack@123,CEO,Singapore,jack.sim@allinone.com.sg,1
140001,Derek,Tan,derek@123,Sales,Singapore,Derek.Tan@allinone.com.sg,3
140002,Susan,Goh,susan@123,Sales,Singapore,Susan.Goh@allinone.com.sg,2
140003,Janice,Chan,janice@123,Sales,Singapore,Janice.Chan@allinone.com.sg,2
140004,Mary,Teo,mary@123,Sales,Singapore,Mary.Teo@allinone.com.sg,2
140008,Jaclyn,Lee,jaclyn@123,Sales,Singapore,Jaclyn.Lee@allinone.com.sg,3
140015,Oliva,Lim,oliva@123,Sales,Singapore,Oliva.Lim@allinone.com.sg,2
140025,Emma,Heng,emma@123,Sales,Singapore,Emma.Heng@allinone.com.sg,2
140036,Charlotte,Wong,charlotte@123,Sales,Singapore,Charlotte.Wong@allinone.com.sg,2
140078,Amelia,Ong,amelia@123,Sales,Singapore,Amelia.Ong@allinone.com.sg,2
140102,Eva,Yong,eva@123,Sales,Singapore,Eva.Yong@allinone.com.sg,2
140103,Sophia,Toh,sophia@123,Sales,Singapore,Sophia.Toh@allinone.com.sg,3
140108,Liam,The,liam@123,Sales,Singapore,Liam.The@allinone.com.sg,2
140115,Noah,Ng,noah@123,Sales,Singapore,Noah.Ng@allinone.com.sg,2
140525,Oliver,Tan,oliver@123,Sales,Singapore,Oliver.Tan@allinone.com.sg,2
140736,William,Fu,william@123,Sales,Singapore,William.Fu@allinone.com.sg,2
140878,James,Tong,james@123,Sales,Singapore,James.Tong@allinone.com.sg,2
140879,Siti,Abdullah,siti@123,Sales,Singapore,Siti.Abdullah@allinone.com.sg,3
140880,Heng,Chan,heng@123,Sales,Singapore,Heng.Chan@allinone.com.sg,2
140881,Rina,Tan,rina@123,Sales,Singapore,Rina.Tan@allinone.com.sg,2
140882,Boun,Souk,boun@123,Sales,Singapore,Boun.Souk@allinone.com.sg,2
140883,Aung,Kyaw,aung@123,Sales,Singapore,Aung.Kyaw@allinone.com.sg,2
140886,Thuy,Nguyen,thuy@123,Sales,Singapore,Thuy.Nguyen@allinone.com.sg,2
140887,Rajesh,Kumar,rajesh@123,Sales,Singapore,Rajesh.Kumar@allinone.com.sg,2
140888,Koh,Lim,koh@123,Sales,Singapore,Koh.Lim@allinone.com.sg,2
140889,Somchai,Somboon,somchai@123,Sales,Singapore,Somchai.Somboon@allinone.com.sg,2
140890,Seng,Lee,seng@123,Sales,Singapore,Seng.Lee@allinone.com.sg,2
140891,Anh,Tran,anh@123,Sales,Singapore,Anh.Tran@allinone.com.sg,2
140892,Ratana,Chen,ratana@123,Sales,Singapore,Ratana.Chen@allinone.com.sg,2
140893,Bui,Nguyen,bui@123,Sales,Singapore,Bui.Nguyen@allinone.com.sg,2
140894,Rahim,Khalid,rahim@123,Sales,Singapore,Rahim.Khalid@allinone.com.sg,3
140895,Dewi,Putri,dewi@123,Sales,Singapore,Dewi.Putri@allinone.com.sg,2
140898,Sokha,Seng,sokha@123,Sales,Singapore,Sokha.Seng@allinone.com.sg,2
140900,Tuan,Nguyen,tuan@123,Sales,Singapore,Tuan.Nguyen@allinone.com.sg,2
140901,Bao,Luu,bao@123,Sales,Singapore,Bao.Luu@allinone.com.sg,2
140903,Amara,Singh,amara@123,Sales,Malaysia,Amara.Singh@allinone.com.my,2
140904,Srey,Mao,srey@123,Sales,Malaysia,Srey.Mao@allinone.com.my,2
140905,Phuc,Le,phuc@123,Sales,Malaysia,Phuc.Le@allinone.com.my,2
